[55.622947,37.615104]
[55.900352,37.631099]
[55.484031,37.559715]
[55.483131,37.558898]
[55.673033,37.91391] 
[55.704923,37.588455]
[55.74241,37.694478] 
[55.865356,38.784426]
[55.596035,37.654651]
[55.673033,37.91391] 
[55.673205,37.725208]
[55.659693,37.550168]
[55.592510,37.633632]
[55.90604,37.535811] 
[55.739673,37.550026]
[55.907527,37.415683]
[55.742245,37.694363]
[55.849055,37.475616]
[55.484138,37.559814]
[55.566795,37.605781]
[55.638515,37.664455]
[55.061288,37.9865]  
[55.671413,37.519104]
[55.566879,37.605854]
[55.691139,37.607772]
[55.70385,37.77406]  
[55.484790,37.556774]
[55.781725,37.678796]
[55.905321,37.536463]
[55.461423,37.566246]
[55.461423,37.566246]
[55.571596,38.916398]
[55.800726,37.575551]
[55.620872,37.719043]
[55.66088,37.556623] 
[55.290948,37.543668]
[55.678878,37.697483]
[55.733048,37.699936]
[55.835636,37.403415]
[55.671989,37.580291]
[55.929298,37.754226]
[55.673324,37.489692]
[55.600038,37.653145]
[55.723063,37.636308]
[55.566822,37.605728]
[55.741865,37.558411]
[55.81069,37.813711] 
[55.673033,37.91391] 
[55.665203,37.724355]
[55.531047,37.500286]
[55.624561,37.642723]
[55.566860,37.605815]
[55.81515,37.52232]  
[55.819273,37.323171]
[55.664633,38.032815]
[55.563426,37.644859]
[55.316585,37.153701]
[55.566829,37.605880]
[55.941543,37.505058]
[55.603549,37.733505]
[55.872386,37.652141]
[55.838687,37.660938]
[55.815203,37.522475]
[55.673055,37.914253]
[55.594497,37.602741]
[55.134436,37.93537] 
[55.906046,37.53577] 
[55.624713,37.615901]
[55.413696,37.547897]
[55.694521,37.491368]
[55.483097,37.559150]
[55.783356,37.656551]
[55.907768,37.416168]
[55.77869,37.556726] 
[55.561302,37.669998]
[55.584275,37.46096] 
[55.576351,37.601913]
[55.815226,37.522333]
[55.678367,37.685398]
[55.667568,37.656143]
[55.484813,37.556900]
[55.882251,37.451492]
[55.652961,37.545360]
[55.485099,37.562210]
[56.025056,37.48184] 
[55.0752,37.839595]  
[55.815226,37.522333]
[55.901086,37.628386]
[55.660198,37.575018]
[55.11278,38.176771] 
[55.680137,37.676967]
[55.64851,37.736771] 
[55.665268,37.724405]
[55.742245,37.694363]
[55.483440,37.556770]
[55.623168,37.742176]
[55.881801,37.650974]
[55.539272,37.575984]
[55.570491,37.492980]
[55.654247,37.440898]
[55.81204,37.46131]  
[55.788613,38.96925] 
[55.421264,37.611461]
[56.301146,38.14398] 
[55.666217,37.660018]
[55.572075,37.672288]
[55.65966,37.550258] 
[55.482952,37.560050]
[55.641120,37.334190]
[55.840628,37.178393]
[55.474365,38.177281]
[55.561344,37.669963]
[55.545089,37.546333]
[55.81204,37.46131]  
[55.906046,37.53577] 
[55.535385,37.063766]
[55.673233,37.489604]
[55.899896,37.630641]
[55.901238,37.628126]
[55.680393,37.683612]
[55.580722,37.658046]
[55.673530,37.489196]
[55.561328,37.669933]
[55.566879,37.605857]
[55.616571,37.673613]
[55.74798,38.850486] 
[55.561378,37.669937]
[55.704968,37.588446]
[55.566852,37.605773]
[55.673240,37.489456]
[55.093991,38.782933]
[55.74813,37.699425] 
[55.673033,37.91391] 
[55.341041,37.310344]
[56.543071,37.55907] 
[55.812053,37.46173] 
[55.603968,37.011026]
[55.665468,37.724318]
[55.663431,37.631175]
[55.561386,37.669937]
[55.665191,37.724185]
[55.566829,37.605854]
[55.566871,37.605815]
[55.466436,37.562133]
[55.566852,37.605842]
[55.695021,37.756378]
[55.631065,37.521278]
[55.835414,37.403118]
[55.665186,37.724098]
[56.299541,38.138571]
[55.651016,37.527641]
[55.664633,38.032815]
[55.471118,37.562301]
[55.881072,37.650222]
[55.659863,37.550433]
[55.81584,37.02262]  
[55.702071,37.777835]
[55.901265,37.627988]
[55.539974,37.483695]
[55.561313,37.669937]
[55.815108,37.521423]
[55.771648,37.68612] 
[55.677490,37.691371]
[55.679599,37.700317]
[55.679637,37.699626]
[55.483333,37.559871]
[55.68944,37.61895]  
[55.679542,37.700695]
[55.483146,37.559410]
[55.669719,37.837280]
[55.838635,37.194115]
[55.508335,37.557350]
[55.900983,37.628365]
[55.702021,37.777695]
[55.353652,37.538757]
[55.906046,37.53577] 
[55.709786,37.508023]
[55.765078,38.950381]
[55.678352,37.663509]
[55.488811,37.723617]
[55.486263,37.516624]
[55.483692,37.559738]
[55.448413,37.763023]
[55.673923,37.559843]
[55.810615,37.81308] 
[55.566822,37.605754]
[55.705756,37.618426]
[55.813306,37.523293]
[55.485309,37.560337]
[55.679485,37.699966]
[55.665382,37.494495]
[55.483009,37.559013]
[55.661369,37.621631]
[55.645557,37.827407]
[55.778126,37.664251]
[55.788666,38.969341]
[55.877235,37.649814]
[55.484172,37.559871]
[55.74205,37.558216] 
[55.686897,37.680072]
[55.16902,38.379121] 
[55.596143,37.654728]
[55.561302,37.669963]
[55.679004,37.699146]
[55.484073,37.556716]
[55.482673,37.558643]
[56.054681,37.47627] 
[55.679286,37.699054]
[55.485336,37.567001]
[55.637233,37.649696]
[55.815349,37.390148]
[55.679580,37.701698]
[55.60761,37.661793] 
[55.742328,37.558673]
[55.736587,37.539386]
[55.673339,37.489162]
[55.707252,37.679428]
[55.815293,37.339713]
[55.7811,37.664205]  
[55.484798,37.556743]
[56.285521,38.1254]  
[55.72301,37.694465] 
[55.672951,37.914033]
[55.560081,37.888401]
[55.484775,37.562076]
[55.693658,37.411391]
[55.411514,37.481830]
[55.673015,37.488777]
[55.874221,37.623699]
[55.6348,37.698976]  
[55.822585,37.749996]
[55.484962,37.556926]
[55.659309,37.490657]
[55.75796,37.528481] 
[55.663678,37.5788]  
[55.719852,37.839076]
[55.537628,37.539657]
[55.74924,38.695955] 
[55.561351,37.670017]
[55.654685,37.759436]
[55.654525,37.440994]
[55.120938,37.958016]
[55.881324,37.651149]
[55.566871,37.605777]
[55.607536,37.656124]
[56.303585,38.138828]
[55.786026,37.109136]
[55.843185,37.173055]
[55.835399,37.403041]
[55.484180,37.562683]
[55.576152,37.594867]
[55.895423,37.427238]
[55.673033,37.91391] 
[55.659571,37.550126]
[55.660043,37.550333]
[55.81139,37.462155] 
[55.682486,37.723138]
[55.561302,37.669990]
[55.81204,37.46131]  
[55.704965,37.588383]
[55.679664,37.641624]
[55.678123,37.666213]
[55.297678,37.949898]
[56.30116,38.143716] 
[55.742875,37.555783]
[55.665088,37.72425] 
[55.870513,37.637149]
[55.942491,37.779733]
[55.665245,37.724385]
[55.624591,37.642803]
[55.866866,37.541055]
[55.660081,37.550295]
[55.573951,37.584796]
[55.091601,38.26919] 
[55.483074,37.559326]
[55.580459,37.596797]
[55.86354,37.515038] 
[55.575283,37.597236]
[55.665245,37.724385]
[55.657315,37.380108]
[55.659080,37.592327]
[55.616619,37.646373]
[55.566307,37.604614]
[55.485939,37.557132]
[55.759052,37.842609]
[55.561264,37.670009]
[55.835391,37.403049]
[55.813321,37.522861]
[55.692375,37.621444]
[55.808158,37.795318]
[55.635403,37.722421]
[55.759243,37.747578]
[55.566284,37.604633]
[55.512851,37.240623]
[55.149235,37.929878]
[55.665088,37.72425] 
[55.733481,37.734561]
[55.561294,37.670009]
[55.505104,37.579818]
[55.583616,37.379466]
[55.835399,37.403049]
[55.540786,37.500110]
[55.672256,37.507480]
[55.733318,37.405612]
[55.488941,37.567417]
[56.301025,38.143865]
[55.815248,37.34061] 
[55.624568,37.642868]
[55.863275,37.545198]
[55.483283,37.565578]
[55.665226,37.724451]
[55.566837,37.605712]
[55.576316,37.689094]
[55.486068,37.557315]
[55.669692,37.454086]
[55.434619,37.500003]
[55.881309,37.650505]
[55.566822,37.605808]
[55.665088,37.72425] 
[55.916645,37.398242]
[55.075213,37.83948] 
[55.62114,37.693805] 
[55.678840,37.697742]
[55.665859,37.651256]
[55.819541,37.32186] 
[55.566757,37.598392]
[55.597991,37.724636]
[55.801335,37.324236]
